ID,Gender,Income,Age,Rentals,AvgPerVisit,Genre
1,M,45000 ,25,27,2.5,Action
2,F,54000 ,33,12,3.4,Drama
3,F,32000 ,20,42,1.6,Comedy
4,F,59000 ,70,16,4.2,Drama
5,M,37000 ,35,25,3.2,Action
6,M,18000 ,20,33,1.7,Action
7,F,29000 ,45,19,3.8,Drama
8,M,74000 ,25,31,2.4,Action
9,M,38000 ,21,18,2.1,Comedy
10,F,65000 ,40,21,3.3,Drama
11,F,41000 ,22,48,2.3,Drama
12,F,26000 ,22,29,2.9,Action
13,M,83000 ,46,14,3.6,Comedy
14,M,45000 ,36,24,2.7,Drama
15,M,68000 ,30,36,2.7,Comedy
16,M,17000 ,19,26,2.2,Action
17,M,36000 ,35,28,3.5,Drama
18,F,6000 ,16,39,1.8,Action
19,F,24000 ,25,41,3.1,Comedy
20,M,12000 ,16,23,2.2,Action
21,F,47000 ,52,11,3.1,Drama
22,M,25000 ,33,16,2.9,Drama
23,F,2000 ,15,30,2.5,Comedy
24,F,79000 ,35,22,3.8,Drama
25,M,1000 ,16,25,1.4,Comedy
26,F,56000 ,35,40,2.6,Action
27,F,62000 ,47,32,3.6,Drama
28,M,57000 ,52,22,4.1,Comedy
29,F,15000 ,18,37,2.1,Action
30,M,41000 ,25,17,1.4,Action
31,F,49000 ,56,15,3.2,Comedy
32,M,47000 ,30,21,3.1,Drama
33,M,23000 ,25,28,2.7,Action
34,F,29000 ,32,19,2.9,Action
35,M,74000 ,29,43,4.6,Action
36,F,29000 ,21,34,2.3,Comedy
37,M,89000 ,46,12,1.2,Comedy
38,M,41000 ,38,20,3.3,Drama
39,F,68000 ,35,19,3.9,Comedy
40,M,17000 ,19,32,1.8,Action
